éûçè,cell_1(V),cell_2(V),cell_3(V),cell_4(V),cell_5(V),cell_6(V),cell_7(V),cell_8(V),cell_9(V),cell_10(V),cell_11(V),cell_12(V),cell_13(V),cell_14(V),cell_15(V),cell_16(V)
11:25:25,3.3703,3.3696,3.3721,3.3743,3.3733,3.3729,3.3744,3.4019,3.3791,3.3924,3.3747,3.3784,3.3748,3.3755,3.3799,3.3751
11:25:26,3.3705,3.369,3.3709,3.3747,3.3715,3.3716,3.3739,3.4012,3.3769,3.3919,3.3733,3.3777,3.3747,3.3746,3.3792,3.3747
11:25:27,3.3693,3.3684,3.3705,3.3737,3.3724,3.371,3.3723,3.3789,3.4147,3.3731,3.3728,3.3786,3.3743,3.3742,3.3783,3.374
11:25:28,3.3695,3.3677,3.3698,3.3723,3.37,3.3707,3.3721,3.3783,3.4139,3.3732,3.3722,3.3772,3.3734,3.3739,3.3776,3.3739
11:25:29,3.3677,3.367,3.3695,3.3723,3.3701,3.3707,3.3714,3.3778,3.413,3.3722,3.3721,3.3768,3.3731,3.3733,3.3774,3.3728
11:25:30,3.3677,3.3664,3.3684,3.3717,3.3703,3.3689,3.3714,3.3773,3.4104,3.3717,3.3712,3.3763,3.3715,3.3728,3.3759,3.3718
11:25:31,3.3675,3.3659,3.3686,3.3709,3.3693,3.3689,3.3698,3.3769,3.41,3.3706,3.37,3.376,3.3722,3.3716,3.3759,3.3721
11:25:32,3.3674,3.3659,3.3675,3.3705,3.37,3.3684,3.3702,3.3769,3.4099,3.3701,3.3703,3.376,3.3713,3.3714,3.3746,3.3711
11:25:33,3.3663,3.365,3.3674,3.3695,3.3684,3.3681,3.3695,3.3757,3.4067,3.3696,3.3693,3.3761,3.3706,3.3713,3.3748,3.3702
11:25:34,3.3668,3.3643,3.3669,3.3695,3.3672,3.3668,3.3692,3.3762,3.406,3.3692,3.3701,3.3747,3.3696,3.3714,3.3739,3.3702
11:25:35,3.3661,3.3643,3.3667,3.3691,3.3668,3.3677,3.3685,3.3755,3.4046,3.3689,3.3675,3.3756,3.369,3.3699,3.3732,3.37
11:25:36,3.3653,3.3643,3.366,3.3686,3.3675,3.3663,3.3683,3.3757,3.4029,3.3682,3.3684,3.374,3.3696,3.37,3.3725,3.3691
11:25:37,3.3656,3.3636,3.366,3.3681,3.3666,3.3665,3.3679,3.3747,3.4025,3.3687,3.3675,3.3742,3.3689,3.3697,3.3723,3.369
